customer_id,signup_date,acquisition_channel,acquisition_cost,age,gender,country,state,city,customer_segment,email_verified,phone_verified
CU_000023,2024-08-20,paid_search,33.99,34,O,SE,NM,Port Brandonville,casual,True,True
CU_000024,2024-04-01,paid_search,45.08,39,O,DE,SC,Port Erin,casual,True,True
CU_000025,2024-11-07,paid_search,38.31,38,M,UG,CA,Jamesmouth,casual,True,False
CU_000026,2024-09-28,social_media,55.5,42,F,SM,KS,Lake Jenniferside,regular,True,False
CU_000027,2024-06-06,affiliate,44.04,34,O,GB,KY,Danielchester,casual,False,True
CU_000028,2024-09-05,social_media,63.6,44,O,DJ,NH,Lake Nancyview,regular,True,True
CU_000029,2024-08-31,social_media,41.27,32,O,SC,WV,New Rita,casual,False,True
CU_000030,2024-04-18,social_media,61.39,29,O,YE,ME,East Nathaniel,casual,True,True
CU_000031,2024-12-09,paid_search,67.11,43,O,DK,ND,New Mariotown,whale,True,True
CU_000032,2024-02-02,paid_search,53.5,27,M,CG,MN,Johnbury,casual,True,True
CU_000033,2024-12-28,paid_search,56.39,39,M,TN,CO,Lake Toddland,casual,False,True
CU_000034,2024-05-01,paid_search,46.34,34,O,PS,ND,East Donna,regular,True,False
CU_000035,2024-10-19,social_media,32.52,26,F,SY,GA,Allisonchester,regular,True,True
CU_000036,2024-02-19,social_media,38.23,29,F,GH,ND,Lake Larry,casual,True,False
CU_000037,2024-12-10,organic,0.0,32,O,SV,SD,Samuelhaven,regular,False,True
CU_000038,2024-07-25,paid_search,89.9,30,M,PG,DE,East Caleb,casual,True,True
CU_000039,2024-08-17,paid_search,30.11,30,F,AO,OR,New Jeffrey,casual,True,False
CU_000040,2024-08-14,affiliate,118.61,35,M,BN,VT,East Carloston,casual,True,False
CU_000041,2024-01-08,organic,0.0,18,M,LS,CA,West Elizabeth,casual,False,False
CU_000042,2024-03-26,paid_search,54.11,31,F,GH,ND,Lake Selena,casual,False,True
CU_000043,2024-01-02,social_media,46.03,30,F,TO,OK,Sanchezfort,casual,True,True
CU_000044,2024-10-11,social_media,42.07,34,M,NE,ID,North Donnastad,casual,True,False
CU_000045,2024-10-23,paid_search,53.31,41,F,NO,MT,Shieldston,whale,True,True
CU_000046,2024-09-14,affiliate,106.37,38,M,GQ,SD,North Richardmouth,casual,False,True
CU_000047,2024-04-05,affiliate,28.78,36,M,CD,IA,East Amanda,casual,True,False
CU_000048,2024-10-18,organic,0.0,49,M,CU,NE,West Steven,casual,True,True
CU_000049,2024-02-11,paid_search,58.69,32,O,BO,NV,North Deniseside,casual,True,True
CU_000050,2024-12-08,paid_search,61.23,27,F,AL,CO,East Richard,regular,True,True
CU_000051,2024-08-22,paid_search,57.41,23,M,RO,IL,Barreraburgh,casual,True,True
CU_000052,2024-10-15,social_media,39.34,35,M,MU,AL,Bakermouth,regular,True,True
CU_000053,2024-06-27,paid_search,105.78,25,F,JO,NE,Mooreport,whale,True,True
CU_000054,2024-10-05,organic,0.0,29,O,GM,AR,Lake Leeton,whale,True,False
CU_000055,2024-11-30,affiliate,83.32,33,O,TV,NJ,North Susan,casual,True,True
CU_000056,2024-03-09,paid_search,57.85,42,O,BR,PR,North Brooke,casual,True,True
CU_000057,2024-11-05,organic,0.0,34,M,GQ,VI,South David,casual,True,True
CU_000058,2024-11-20,paid_search,82.98,38,F,TN,IA,New Christophershire,casual,False,False
CU_000059,2024-02-17,organic,0.0,34,O,TM,NC,Sarahborough,regular,True,True
CU_000060,2024-01-02,paid_search,37.87,34,F,SV,VT,Johnfurt,casual,True,True
CU_000061,2024-12-27,organic,0.0,34,F,CO,TN,Stephenland,casual,True,True
CU_000062,2024-12-19,paid_search,88.48,26,F,AG,NH,North Amandahaven,casual,True,True
CU_000063,2024-03-06,affiliate,34.95,22,M,IN,DC,Nicolebury,casual,False,True
CU_000064,2024-05-07,paid_search,64.13,37,O,MN,LA,South Martha,regular,False,True
CU_000065,2024-11-13,affiliate,117.43,39,M,MA,ME,Lake Lisaport,casual,False,False
CU_000066,2024-03-31,affiliate,69.25,35,O,HR,CT,West Darrell,regular,False,False
CU_000067,2024-07-29,social_media,59.29,24,M,CD,WA,West Juan,casual,True,False
CU_000068,2024-02-25,social_media,22.15,25,F,GE,VT,Jamesview,whale,True,False
CU_000069,2024-08-23,affiliate,74.63,32,M,SD,NM,Rebeccaton,regular,True,True
CU_000070,2024-07-23,social_media,37.22,43,F,BW,SC,Calderonton,casual,True,True
CU_000071,2024-12-13,affiliate,111.46,23,M,AD,MA,Lake Tina,casual,True,False
CU_000072,2024-04-01,organic,0.0,35,O,DK,WA,Arnoldchester,whale,False,True
CU_000073,2024-02-25,social_media,35.89,35,F,TJ,AL,North Sierraberg,whale,True,False
CU_000074,2024-02-29,organic,0.0,31,F,ST,AZ,Brandiberg,whale,False,True
CU_000075,2024-01-23,social_media,29.52,28,O,NR,DC,West Michaelton,casual,True,False
CU_000076,2024-12-09,affiliate,47.76,38,O,MK,IL,Lake Curtis,casual,False,True
CU_000077,2024-12-05,affiliate,113.34,24,F,TJ,FM,Dicksonberg,whale,True,True
CU_000078,2024-06-16,organic,0.0,33,F,GW,VI,Port Lisa,casual,True,True
CU_000079,2024-04-08,social_media,43.21,34,O,NG,AK,Lake Sandra,casual,True,True
CU_000080,2024-10-18,affiliate,59.69,36,M,NG,AS,West Erik,regular,True,True
CU_000081,2024-10-23,paid_search,59.33,36,F,ME,CT,Brennanfort,casual,True,True
CU_000082,2024-08-30,organic,0.0,36,O,GN,ID,Baileybury,regular,True,True
CU_000083,2024-09-20,social_media,45.91,36,M,GR,AK,South Mark,casual,True,False
CU_000084,2024-12-10,affiliate,70.52,41,M,BJ,WI,Michaelhaven,regular,True,True
CU_000085,2024-08-31,paid_search,79.69,25,F,MZ,TX,Sheilaville,regular,True,True
CU_000086,2024-04-09,paid_search,68.53,30,F,IL,HI,Benjaminchester,casual,True,True
CU_000087,2024-01-03,social_media,63.38,37,M,LY,VA,Samuelhaven,casual,True,True
CU_000088,2024-12-22,paid_search,43.24,19,M,CI,MS,West Bradley,casual,False,True
CU_000089,2024-03-09,social_media,53.01,32,O,NZ,AL,West Ryan,regular,True,False
CU_000090,2024-08-14,paid_search,77.57,23,O,TL,PW,Cindyville,regular,True,False
CU_000091,2024-08-16,paid_search,99.33,32,F,WS,MH,Williamchester,casual,True,False
CU_000092,2024-11-22,affiliate,66.45,26,F,LR,MO,Angelaborough,casual,True,True
CU_000093,2024-02-09,organic,0.0,18,O,NL,TN,Byrdburgh,regular,True,True
CU_000094,2024-06-12,paid_search,61.37,33,M,VE,OK,Richardtown,regular,True,True
CU_000095,2024-12-27,paid_search,40.34,36,F,KI,LA,South Kristi,casual,True,True
CU_000096,2024-04-15,paid_search,75.43,38,O,UZ,SD,Stevenmouth,casual,False,True
CU_000097,2024-10-21,paid_search,35.65,46,F,GQ,IL,Leonburgh,casual,True,True
CU_000098,2024-08-02,paid_search,72.88,35,O,KM,CO,Zacharymouth,regular,False,True
CU_000099,2024-05-19,affiliate,46.62,48,F,BW,GU,Lake Lance,whale,True,False
CU_000100,2024-03-25,paid_search,104.82,40,O,FJ,FL,North Johnfort,casual,True,False
CU_000101,2024-10-30,affiliate,53.13,35,O,VA,PR,South Robertshire,casual,True,False
CU_000102,2024-04-03,paid_search,29.92,38,M,FI,VT,Snyderbury,casual,True,True
CU_000103,2024-07-13,social_media,36.51,29,F,CY,SD,Port Michelleville,casual,True,True
CU_000104,2024-01-10,affiliate,64.13,22,F,NO,IN,Port Susan,casual,True,True
CU_000105,2024-11-29,paid_search,21.94,43,M,SI,NH,New Johnville,casual,True,True
CU_000106,2024-03-19,organic,0.0,20,M,PH,DC,Contrerasside,casual,True,True
CU_000107,2024-10-15,paid_search,86.55,33,F,UG,MD,Salazarhaven,regular,True,True
CU_000108,2024-11-06,affiliate,123.18,27,M,NP,MP,Merrittfort,casual,False,True
CU_000109,2024-01-14,affiliate,110.22,44,F,PG,KS,Port Dana,whale,True,True
CU_000110,2024-02-08,social_media,48.61,22,M,SK,NM,West Scott,casual,True,False
CU_000111,2024-12-16,social_media,30.0,34,O,LC,LA,West Matthew,whale,True,True
CU_000112,2024-08-07,paid_search,50.4,27,O,SR,CO,East Jesse,casual,True,False
CU_000113,2024-09-07,paid_search,47.05,27,O,MD,FL,North Robert,regular,False,True
CU_000114,2024-03-19,affiliate,78.52,38,O,LS,ND,Perryborough,casual,True,False
CU_000115,2024-10-02,organic,0.0,38,F,NL,MS,Port Nicoleshire,casual,True,False
CU_000116,2024-10-30,paid_search,56.99,37,M,MU,NJ,West Kennethfurt,casual,True,True
CU_000117,2024-08-25,affiliate,86.75,31,F,NL,ND,South Jeffrey,regular,True,False
CU_000118,2024-04-03,affiliate,64.88,32,F,NZ,NM,South Matthewfurt,casual,True,False
CU_000119,2024-12-25,organic,0.0,30,F,RS,GA,Calhounside,casual,True,True
CU_000120,2024-04-07,affiliate,47.82,40,F,AR,PW,Vargastown,regular,True,True
CU_000121,2024-08-31,organic,0.0,42,O,BS,SD,Taylormouth,casual,True,True
CU_000122,2024-01-09,organic,0.0,32,M,EG,AR,Nicholasborough,casual,True,True
CU_000123,2024-05-04,paid_search,51.17,34,F,PH,MD,Kathleenfurt,casual,True,True
CU_000124,2024-10-08,affiliate,68.2,30,F,IT,WV,Kingland,whale,True,True
CU_000125,2024-04-08,social_media,34.24,23,O,PW,AK,West Jeffreyland,casual,True,True
CU_000126,2024-09-04,affiliate,59.35,22,O,CF,AZ,East Jamestown,regular,True,False
CU_000127,2024-04-09,affiliate,52.16,31,F,VU,FL,East Thomas,regular,True,True
CU_000128,2024-05-20,social_media,13.6,24,F,CI,OK,South Holly,casual,True,True
CU_000129,2024-09-08,organic,0.0,25,M,MN,GA,Port Loriport,casual,False,True
CU_000130,2024-08-28,affiliate,63.61,29,M,CD,OR,West Barbarafurt,casual,True,False
CU_000131,2024-02-28,paid_search,75.42,33,M,MY,VT,North Brittany,casual,True,True
CU_000132,2024-03-18,affiliate,48.41,27,F,YE,IA,Lake Kendraville,casual,True,True
CU_000133,2024-10-12,paid_search,82.63,20,O,TM,WY,West Amandastad,regular,True,True
CU_000134,2024-08-18,organic,0.0,20,F,BJ,NY,Alexanderchester,regular,True,True
CU_000135,2024-08-07,affiliate,62.87,26,O,RW,CT,Yumouth,whale,False,True
CU_000136,2024-04-16,affiliate,69.28,30,M,KN,FL,Thompsonhaven,regular,True,True
CU_000137,2024-02-08,organic,0.0,31,M,CF,KY,Marshallshire,casual,True,True
CU_000138,2024-10-31,social_media,24.27,23,F,IQ,MD,Port Sarah,casual,True,True
CU_000139,2024-08-20,paid_search,27.83,34,F,IT,FM,Sanchezmouth,casual,True,True
CU_000140,2024-12-04,affiliate,76.3,25,M,TN,RI,Rogersfort,regular,True,True
CU_000141,2024-05-16,social_media,34.73,37,M,LR,HI,Lewisview,whale,True,True
CU_000142,2024-10-18,organic,0.0,28,F,LV,KY,Angelahaven,casual,True,True
CU_000143,2024-06-04,organic,0.0,33,O,ET,CO,Lake Richard,casual,True,True
CU_000144,2024-10-03,affiliate,52.08,32,M,TH,WV,Lake Thomas,casual,False,False
CU_000145,2024-11-05,social_media,19.66,43,O,LC,NM,Mcguireland,whale,True,True
CU_000146,2024-01-11,affiliate,122.88,39,F,KE,IN,Holtport,casual,True,False
CU_000147,2024-03-30,organic,0.0,49,F,HR,OR,Thomashaven,casual,True,True
CU_000148,2024-05-22,paid_search,43.06,25,O,LY,NE,Michaelmouth,casual,True,False
CU_000149,2024-08-28,social_media,27.27,25,O,IR,ME,Jerryborough,casual,True,True
CU_000150,2024-07-29,organic,0.0,33,O,KW,DE,East Javier,whale,True,True
CU_000151,2024-07-24,social_media,49.74,39,F,RO,KY,Tinaborough,regular,True,True
CU_000152,2024-02-29,paid_search,84.26,27,O,KE,IN,Harrytown,regular,True,True
CU_000153,2024-10-04,affiliate,49.14,21,O,KN,ND,West Brandon,whale,True,False
CU_000154,2024-11-16,organic,0.0,46,F,BF,OH,Heidiberg,whale,True,True
CU_000155,2024-10-08,paid_search,32.27,41,O,DZ,VI,Garciatown,casual,True,True
CU_000156,2024-11-18,paid_search,55.72,28,M,TO,LA,Mendozamouth,whale,True,True
CU_000157,2024-07-27,social_media,28.07,31,M,ER,AR,Shelleyfort,casual,True,True
CU_000158,2024-03-19,paid_search,69.28,41,O,CI,GU,South Travisshire,casual,True,True
CU_000159,2024-09-04,organic,0.0,32,F,ZM,TX,East Edwardshire,casual,True,True
CU_000160,2024-07-15,organic,0.0,32,M,KI,CO,North Angela,regular,False,True
CU_000161,2024-03-10,paid_search,70.94,23,F,NI,PA,Port Alexandra,regular,True,False
CU_000162,2024-05-16,affiliate,82.78,30,F,PG,PW,Evansshire,whale,True,True
CU_000163,2024-12-03,affiliate,55.12,19,O,NP,ME,New Susanville,casual,True,True
CU_000164,2024-10-05,affiliate,81.9,42,M,GE,SC,West Donna,casual,False,True
CU_000165,2024-07-15,affiliate,62.49,41,M,DJ,IA,New Charles,casual,True,True
CU_000166,2024-07-14,affiliate,71.23,32,O,AD,MT,Norrisfort,casual,False,True
CU_000167,2024-01-19,social_media,29.31,37,F,JP,AZ,West Jasmine,regular,False,False
CU_000168,2024-08-13,paid_search,45.38,42,M,ME,VI,Jonesbury,regular,True,True
CU_000169,2024-12-01,paid_search,64.49,40,F,IN,WY,South Danny,casual,True,True
CU_000170,2024-11-28,social_media,18.29,18,O,GR,SD,West Margaret,casual,False,True
CU_000171,2024-06-11,paid_search,86.27,44,F,BN,AR,Port Kyle,whale,False,True
CU_000172,2024-02-05,affiliate,59.38,32,F,AE,GU,Scottmouth,casual,False,False
CU_000173,2024-08-10,organic,0.0,18,M,FM,ME,Benderhaven,regular,True,True
CU_000174,2024-02-21,organic,0.0,31,F,SR,NM,Millerton,casual,True,True
CU_000175,2024-01-15,paid_search,38.64,21,F,NR,WA,Cassandratown,casual,True,True
CU_000176,2024-05-05,paid_search,65.34,37,M,BW,IN,Port Emilyview,casual,True,True
CU_000177,2024-07-14,paid_search,56.35,34,O,TR,AZ,South April,casual,True,True
CU_000178,2024-05-10,paid_search,64.58,24,F,PA,PW,Howardshire,casual,False,True
CU_000179,2024-03-21,social_media,26.47,24,O,NZ,SC,Costafort,regular,True,False
CU_000180,2024-12-19,paid_search,55.39,36,M,MG,MT,Manuelville,casual,False,False
CU_000181,2024-02-24,paid_search,46.34,31,O,DK,MA,Steeleport,casual,True,True
CU_000182,2024-01-12,social_media,60.03,23,F,HR,MO,South Christopherview,casual,True,False
CU_000183,2024-01-26,affiliate,120.47,26,F,LI,DE,Hancocktown,casual,True,True
CU_000184,2024-06-29,organic,0.0,33,M,KM,VI,Gutierrezborough,regular,True,True
CU_000185,2024-12-13,paid_search,90.26,36,O,SI,MN,Garrettton,casual,True,True
CU_000186,2024-11-17,paid_search,60.89,38,F,GA,KY,West Samuel,casual,True,True
CU_000187,2024-03-08,social_media,18.15,19,O,MC,NM,North Teresabury,casual,True,True
CU_000188,2024-10-03,affiliate,91.96,42,O,KN,GA,Andreaside,casual,False,False
CU_000189,2024-05-11,paid_search,112.12,36,F,NE,CO,Port Robin,casual,True,True
CU_000190,2024-02-28,social_media,25.23,34,M,PL,DE,South Sarah,casual,False,False
CU_000191,2024-07-22,social_media,64.84,19,F,JP,NY,Robertfort,casual,True,True
CU_000192,2024-05-15,social_media,36.62,33,O,PW,IA,Arnoldfurt,casual,True,True
CU_000193,2024-07-14,paid_search,104.49,26,M,ET,PW,Port Chad,casual,True,True
CU_000194,2024-11-13,organic,0.0,23,O,NI,MA,Loriport,casual,True,True
CU_000195,2024-11-27,affiliate,48.66,31,O,RS,ME,Grimesmouth,casual,True,True
CU_000196,2024-03-12,social_media,13.37,43,F,SO,NJ,Martinside,casual,True,True
CU_000197,2024-10-02,affiliate,44.05,23,O,MT,NH,Mollybury,casual,False,True
CU_000198,2024-10-03,social_media,38.74,30,M,TO,MS,Port Kimberly,casual,False,True
CU_000199,2024-09-07,affiliate,105.27,20,F,BD,MD,Thorntonfurt,casual,True,True
CU_000200,2024-08-15,paid_search,47.12,36,F,MV,TN,South Tammie,casual,True,True
CU_000201,2024-10-05,paid_search,94.01,27,M,CN,NY,Mollymouth,casual,True,True
CU_000202,2024-03-03,organic,0.0,25,F,BZ,NC,Smithberg,casual,True,True
CU_000203,2024-11-23,social_media,27.25,34,F,NE,VI,North Terrance,casual,True,True
CU_000204,2024-10-16,social_media,30.9,31,O,IN,MA,Santosmouth,casual,True,True
CU_000205,2024-04-29,organic,0.0,27,F,GQ,PR,Finleyfort,whale,True,False
CU_000206,2024-11-01,affiliate,43.97,38,M,SR,AZ,East Crystalport,casual,False,True
CU_000207,2024-03-30,affiliate,54.15,18,M,GT,WA,South Tiffanyville,whale,True,False
CU_000208,2024-05-01,paid_search,44.82,36,F,PA,GA,Rebeccaton,regular,True,False
CU_000209,2024-09-26,social_media,15.53,18,F,LR,WY,West Michaelchester,casual,True,True
CU_000210,2024-02-25,affiliate,56.33,32,O,CY,IA,Knightburgh,casual,True,False
CU_000211,2024-12-03,affiliate,72.29,31,M,DO,HI,New Monicabury,casual,True,True
CU_000212,2024-07-24,paid_search,41.39,22,O,SB,PW,East Steven,casual,False,True
CU_000213,2024-02-11,paid_search,37.91,40,M,IE,NH,Elizabethmouth,casual,True,True
CU_000214,2024-10-07,affiliate,81.63,27,O,JO,TX,North Scott,casual,True,True
CU_000215,2024-11-05,affiliate,80.73,18,M,LY,OR,Daniellechester,regular,False,True
CU_000216,2024-10-09,organic,0.0,25,O,FM,KS,Bruceborough,casual,False,True
CU_000217,2024-04-26,organic,0.0,34,F,MV,PR,Rodriguezfurt,regular,True,True
CU_000218,2024-07-31,paid_search,65.61,27,F,TO,MI,Victoriaport,whale,True,True
CU_000219,2024-03-19,affiliate,85.28,41,M,AO,MP,Hillshire,casual,True,True
CU_000220,2024-02-19,affiliate,83.37,34,M,LA,WI,New Julieport,casual,True,True
CU_000221,2024-10-14,paid_search,71.8,35,F,GT,PA,Jefferyborough,casual,True,True
CU_000222,2024-08-04,social_media,57.58,28,F,VN,KS,Lake Colton,regular,True,True
CU_000223,2024-10-22,organic,0.0,41,O,YE,SD,West Kristinaton,casual,True,True
CU_000224,2024-04-24,social_media,44.46,28,O,TT,MN,North Renee,casual,True,False
CU_000225,2024-10-20,paid_search,41.47,32,O,LR,WA,Thompsonberg,casual,False,False
CU_000226,2024-11-10,organic,0.0,45,O,SR,FM,Alyssaview,casual,True,True
CU_000227,2024-12-02,social_media,41.18,33,M,DM,KS,Coffeyport,casual,True,False
CU_000228,2024-06-22,organic,0.0,38,F,AE,VI,Lindamouth,casual,True,False
CU_000229,2024-10-16,paid_search,50.25,34,O,BO,FL,Port Erica,casual,True,True
CU_000230,2024-09-28,social_media,24.33,28,F,GQ,MO,Christopherfurt,casual,True,True
CU_000231,2024-06-15,affiliate,97.73,28,M,AL,KS,South Miguelview,regular,False,True
CU_000232,2024-11-12,affiliate,28.13,25,F,TV,MS,Danielbury,casual,True,True
CU_000233,2024-08-14,affiliate,53.75,35,O,PW,AK,Rosebury,casual,True,True
CU_000234,2024-05-25,affiliate,91.47,34,O,KH,CA,Blankenshipport,casual,True,True
CU_000235,2024-07-21,organic,0.0,29,O,CF,MT,East Brandonton,casual,True,True
CU_000236,2024-04-18,paid_search,90.96,24,F,KI,NM,North Jimmyside,regular,True,True
CU_000237,2024-08-08,affiliate,44.58,38,O,CR,MS,Watsonside,casual,True,True
CU_000238,2024-12-08,social_media,34.21,42,O,NL,OR,South Diana,regular,True,True
CU_000239,2024-02-09,paid_search,87.47,18,O,RW,RI,Crosbyview,casual,True,True
CU_000240,2024-05-28,organic,0.0,43,M,AU,UT,Jeffmouth,casual,True,False
CU_000241,2024-03-28,affiliate,102.86,51,O,GW,PR,Corystad,casual,False,True
CU_000242,2024-02-24,organic,0.0,33,M,ST,MH,Bruceview,casual,True,True
CU_000243,2024-02-10,affiliate,56.74,35,F,ET,DE,Davisborough,whale,True,False
CU_000244,2024-02-09,paid_search,45.52,33,O,BA,SC,North Kristinbury,regular,True,False
CU_000245,2024-06-28,affiliate,108.91,44,M,CN,WY,North Maria,casual,True,True
CU_000246,2024-04-11,organic,0.0,27,M,TG,IL,Port Molly,whale,True,False
CU_000247,2024-12-01,paid_search,44.37,32,O,LS,WI,Port Rachel,casual,True,False
CU_000248,2024-10-23,social_media,44.21,40,O,AD,KY,East Amber,casual,True,False
CU_000249,2024-06-14,paid_search,90.47,23,M,EC,DE,East Alexisbury,casual,True,True
CU_000250,2024-11-19,organic,0.0,18,F,TZ,MD,East Josephberg,casual,True,True
CU_000251,2024-06-29,paid_search,53.37,29,F,SZ,MT,Lake Brycemouth,casual,True,True
CU_000252,2024-05-26,social_media,25.5,45,M,ML,NY,South Williamton,casual,True,True
CU_000253,2024-08-24,paid_search,85.54,18,O,ZA,WY,Stephentown,casual,False,True
CU_000254,2024-10-19,social_media,37.07,31,F,BH,NJ,Simmonsville,whale,True,False
CU_000255,2024-08-18,affiliate,54.49,29,F,RW,VT,Jonesland,casual,False,True
CU_000256,2024-11-26,organic,0.0,23,M,LI,PA,North David,casual,True,True
CU_000257,2024-08-12,affiliate,80.03,32,F,VU,SC,Oscarhaven,casual,True,True
CU_000258,2024-07-28,organic,0.0,31,F,KE,NH,Garciaville,casual,True,True
CU_000259,2024-11-19,paid_search,49.63,31,M,TD,SD,South Shannon,casual,True,True
CU_000260,2024-05-09,paid_search,82.4,27,O,GT,MT,Mariafurt,casual,False,True
CU_000261,2024-10-25,social_media,54.33,18,F,NI,VA,West Ronaldview,regular,False,True
CU_000262,2024-07-19,affiliate,51.21,40,M,MR,FL,Jonesland,casual,True,True
CU_000263,2024-06-17,paid_search,89.3,20,O,BW,NE,Lake Joanneberg,casual,False,False
CU_000264,2024-02-17,social_media,39.72,25,F,TH,AR,Elizabethchester,casual,True,True
CU_000265,2024-04-19,paid_search,59.75,39,M,MH,VI,Parrishton,casual,True,True
CU_000266,2024-02-09,paid_search,57.08,42,O,JO,PA,Michaelshire,casual,True,False
CU_000267,2024-09-26,affiliate,33.96,27,O,SD,IL,Lake Timothy,casual,True,True
CU_000268,2024-03-24,paid_search,45.93,35,O,CD,MI,Dannyview,regular,True,True
CU_000269,2024-08-12,paid_search,29.22,37,O,TO,IN,Bruceside,casual,True,True
CU_000270,2024-05-25,social_media,54.52,35,M,AR,PA,Anthonyview,regular,True,True
CU_000271,2024-08-28,paid_search,68.36,36,O,ME,WV,Sandrastad,regular,False,False
CU_000272,2024-08-24,paid_search,91.83,29,O,AF,HI,New Diane,casual,True,False
CU_000273,2024-04-12,paid_search,60.3,34,F,BJ,FL,North Julieborough,casual,True,True
CU_000274,2024-07-09,organic,0.0,21,O,MT,MT,Petersonstad,casual,False,True
CU_000275,2024-09-21,paid_search,70.74,26,M,KR,VA,Kimberlyshire,regular,True,False
CU_000276,2024-03-16,paid_search,59.19,20,M,UG,CO,East Ericton,casual,True,False
CU_000277,2024-01-14,social_media,30.9,18,F,GQ,CO,Scottchester,casual,True,False
CU_000278,2024-07-10,organic,0.0,45,M,RU,PA,Perryborough,casual,True,False
CU_000279,2024-12-31,paid_search,83.61,31,M,TW,NY,West Russellport,regular,True,False
CU_000280,2024-08-29,affiliate,66.4,40,O,GD,TX,Roseport,regular,True,True
CU_000281,2024-02-10,paid_search,24.79,34,M,BD,IN,Joyceton,casual,True,False
CU_000282,2024-09-27,paid_search,66.12,18,M,AF,IL,Sierraberg,casual,True,True
CU_000283,2024-08-02,organic,0.0,32,O,IE,LA,Davidfort,casual,True,True
CU_000284,2024-02-26,paid_search,81.66,34,O,AE,NE,East Omar,casual,True,True
CU_000285,2024-05-03,organic,0.0,33,O,MA,IN,Charleston,casual,True,True
CU_000286,2024-11-10,affiliate,64.64,24,M,NZ,AK,Morsemouth,casual,True,True
CU_000287,2024-07-03,affiliate,41.05,34,O,TR,NE,Mckinneychester,regular,True,True
CU_000288,2024-01-11,affiliate,63.27,39,O,JP,DE,Smithmouth,casual,True,True
CU_000289,2024-01-09,organic,0.0,18,F,DO,AS,Collierstad,casual,True,True
CU_000290,2024-12-02,paid_search,81.08,21,O,BT,NE,East Ryanfurt,casual,True,True
CU_000291,2024-06-29,affiliate,92.14,33,M,SL,CO,Harrellmouth,casual,True,True
CU_000292,2024-12-22,social_media,28.04,25,M,GN,MA,North William,casual,True,False
CU_000293,2024-08-22,social_media,15.24,24,M,CI,NC,Port Michael,casual,False,True
CU_000294,2024-06-07,social_media,49.01,40,O,ZA,GU,East Curtis,casual,True,True
CU_000295,2024-11-27,organic,0.0,25,M,IE,ID,New Eric,regular,True,False
CU_000296,2024-01-25,paid_search,74.14,37,M,PS,SD,East Stephaniefort,casual,True,True
CU_000297,2024-07-23,paid_search,95.79,52,F,PL,WV,Maldonadoshire,casual,True,True
CU_000298,2024-12-20,affiliate,93.11,31,O,BA,SC,Michellemouth,casual,True,True
CU_000299,2024-08-05,paid_search,36.68,31,M,CZ,NV,South Scottport,casual,True,True
CU_000300,2024-02-10,social_media,25.85,46,F,IS,OR,West Williamport,regular,True,True
CU_000301,2024-12-19,affiliate,66.14,37,O,PL,NV,North Miguelport,casual,False,True
CU_000302,2024-08-10,affiliate,73.74,39,M,BO,SD,New Brookefurt,casual,True,True
CU_000303,2024-07-05,paid_search,71.69,31,M,PL,OR,South Reginashire,casual,False,True
CU_000304,2024-11-07,social_media,41.28,36,M,CF,ID,Cassidyhaven,casual,True,False
CU_000305,2024-07-06,affiliate,81.14,36,M,CZ,AR,Garciamouth,regular,True,True
CU_000306,2024-07-08,organic,0.0,40,F,LC,CO,North John,regular,True,True
